,Time,SA T,SA T Set,OA T,MA T,RA T,SA Fan Stat,RA Fan Stat,SA Speed,RA Speed,OA Damper,RA Damper,Cooling valve,Heating valve,SA Pressure Set,SA Pressure,Occupancy,Fault
221760,11/13/2017 0:00,68.0,55.04,35.6,68.0,75.2,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
221761,11/13/2017 0:01,67.99,55.04,35.6,66.72,75.2,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
221762,11/13/2017 0:02,67.99,55.04,60.59,66.72,75.08,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
221763,11/13/2017 0:03,67.99,55.04,60.55,66.72,75.07,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
221764,11/13/2017 0:04,67.99,55.04,60.52,66.72,75.02,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
221765,11/13/2017 0:05,67.99,55.04,60.49,66.72,74.98,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
221766,11/13/2017 0:06,67.99,55.04,60.46,66.72,74.94,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
221767,11/13/2017 0:07,67.99,55.04,60.42,66.72,74.9,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
221768,11/13/2017 0:08,67.99,55.04,60.39,66.72,74.87,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
221769,11/13/2017 0:09,67.99,55.04,60.36,66.72,74.83,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
221770,11/13/2017 0:10,67.99,55.04,60.32,66.72,74.8,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
221771,11/13/2017 0:11,67.99,55.04,60.29,66.72,74.76,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
221772,11/13/2017 0:12,67.99,55.04,60.26,66.72,74.73,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
