,Time,SA T,SA T Set,OA T,MA T,RA T,SA Fan Stat,RA Fan Stat,SA Speed,RA Speed,OA Damper,RA Damper,Cooling valve,Heating valve,SA Pressure Set,SA Pressure,Occupancy,Fault
12960,2/8/2017 0:00,54.99,55.04,14.7,66.62,66.6,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
12961,2/8/2017 0:01,55.0,55.04,14.72,66.59,66.57,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
12962,2/8/2017 0:02,55.0,55.04,14.72,66.55,66.54,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
12963,2/8/2017 0:03,55.0,55.04,14.72,66.52,66.51,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
12964,2/8/2017 0:04,55.0,55.04,14.72,66.49,66.47,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
12965,2/8/2017 0:05,55.0,55.04,14.72,66.46,66.44,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
12966,2/8/2017 0:06,55.0,55.04,14.72,66.43,66.42,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
12967,2/8/2017 0:07,55.0,55.04,14.72,66.4,66.39,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
12968,2/8/2017 0:08,55.0,55.04,14.72,66.37,66.36,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
12969,2/8/2017 0:09,55.0,55.04,14.72,66.35,66.34,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
12970,2/8/2017 0:10,55.0,55.04,14.72,66.33,66.32,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
12971,2/8/2017 0:11,55.0,55.04,14.72,66.31,66.3,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
12972,2/8/2017 0:12,55.01,55.04,14.72,66.29,66.28,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
12973,2/8/2017 0:13,55.01,55.04,14.72,66.27,66.27,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
12974,2/8/2017 0:14,55.01,55.04,14.72,66.26,66.25,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
12975,2/8/2017 0:15,55.01,55.04,14.72,66.24,66.24,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
12976,2/8/2017 0:16,55.01,55.04,14.72,66.23,66.22,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
12977,2/8/2017 0:17,55.01,55.04,14.72,66.22,66.21,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
12978,2/8/2017 0:18,55.02,55.04,14.72,66.2,66.2,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
12979,2/8/2017 0:19,55.02,55.04,14.72,66.18,66.18,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
12980,2/8/2017 0:20,55.02,55.04,14.72,66.17,66.17,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
12981,2/8/2017 0:21,55.02,55.04,14.72,66.15,66.15,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
12982,2/8/2017 0:22,55.02,55.04,14.72,66.14,66.13,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
12983,2/8/2017 0:23,55.02,55.04,14.72,66.12,66.12,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
12984,2/8/2017 0:24,55.02,55.04,14.72,66.1,66.1,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
12985,2/8/2017 0:25,55.02,55.04,14.72,66.09,66.09,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
12986,2/8/2017 0:26,55.02,55.04,14.72,66.07,66.07,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
12987,2/8/2017 0:27,55.02,55.04,14.72,66.06,66.06,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
12988,2/8/2017 0:28,55.02,55.04,14.72,66.05,66.04,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
12989,2/8/2017 0:29,55.02,55.04,14.72,66.03,66.03,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
12990,2/8/2017 0:30,55.02,55.04,14.72,66.02,66.02,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
12991,2/8/2017 0:31,55.02,55.04,14.72,66.01,66.01,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
12992,2/8/2017 0:32,55.02,55.04,14.72,65.99,65.99,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
12993,2/8/2017 0:33,55.02,55.04,14.72,65.98,65.98,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
12994,2/8/2017 0:34,55.02,55.04,14.72,65.97,65.97,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
12995,2/8/2017 0:35,55.02,55.04,14.72,65.96,65.96,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
12996,2/8/2017 0:36,55.02,55.04,14.72,65.95,65.95,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
12997,2/8/2017 0:37,55.02,55.04,14.72,65.94,65.94,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
12998,2/8/2017 0:38,55.03,55.04,14.72,65.93,65.93,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
12999,2/8/2017 0:39,55.03,55.04,14.72,65.92,65.92,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
13000,2/8/2017 0:40,55.03,55.04,14.72,65.91,65.91,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
13001,2/8/2017 0:41,55.03,55.04,14.72,65.9,65.91,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
13002,2/8/2017 0:42,55.03,55.04,14.72,65.89,65.9,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
13003,2/8/2017 0:43,55.03,55.04,14.72,65.88,65.89,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
13004,2/8/2017 0:44,55.03,55.04,14.72,65.87,65.88,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
13005,2/8/2017 0:45,55.03,55.04,14.72,65.87,65.87,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
13006,2/8/2017 0:46,55.03,55.04,14.72,65.86,65.86,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
13007,2/8/2017 0:47,55.03,55.04,14.72,65.85,65.85,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
13008,2/8/2017 0:48,55.03,55.04,14.72,65.84,65.84,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
13009,2/8/2017 0:49,55.03,55.04,14.72,65.83,65.83,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
13010,2/8/2017 0:50,55.03,55.04,14.72,65.82,65.82,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
13011,2/8/2017 0:51,55.03,55.04,14.72,65.81,65.81,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
13012,2/8/2017 0:52,55.03,55.04,14.72,65.8,65.81,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
