,Time,SA T,SA T Set,OA T,MA T,RA T,SA Fan Stat,RA Fan Stat,SA Speed,RA Speed,OA Damper,RA Damper,Cooling valve,Heating valve,SA Pressure Set,SA Pressure,Occupancy,Fault
92160,5/19/2017 0:00,51.61,55.04,55.6,65.97,73.1,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
92161,5/19/2017 0:01,51.61,55.04,55.58,65.97,73.1,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
92162,5/19/2017 0:02,51.61,55.04,55.6,65.97,73.09,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
92163,5/19/2017 0:03,51.61,55.04,55.62,65.97,73.09,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
92164,5/19/2017 0:04,51.61,55.04,55.63,65.97,73.08,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
92165,5/19/2017 0:05,51.61,55.04,55.65,65.97,73.08,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
92166,5/19/2017 0:06,51.61,55.04,55.67,65.97,73.07,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
92167,5/19/2017 0:07,51.61,55.04,55.69,65.97,73.07,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
92168,5/19/2017 0:08,51.61,55.04,55.71,65.97,73.07,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
92169,5/19/2017 0:09,51.61,55.04,55.72,65.97,73.06,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
92170,5/19/2017 0:10,51.61,55.04,55.74,65.97,73.06,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
92171,5/19/2017 0:11,51.61,55.04,55.76,65.97,73.06,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
92172,5/19/2017 0:12,51.61,55.04,55.78,65.97,73.05,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
92173,5/19/2017 0:13,51.61,55.04,55.8,65.97,73.05,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
92174,5/19/2017 0:14,51.61,55.04,55.81,65.97,73.05,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
92175,5/19/2017 0:15,51.61,55.04,55.83,65.97,73.05,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
92176,5/19/2017 0:16,51.61,55.04,55.85,65.97,73.04,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
92177,5/19/2017 0:17,51.61,55.04,55.87,65.97,73.04,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
92178,5/19/2017 0:18,51.61,55.04,55.89,65.97,73.04,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
92179,5/19/2017 0:19,51.61,55.04,55.9,65.97,73.04,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
92180,5/19/2017 0:20,51.61,55.04,55.92,65.97,73.03,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
92181,5/19/2017 0:21,51.61,55.04,55.94,65.97,73.03,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
92182,5/19/2017 0:22,51.61,55.04,55.96,65.97,73.03,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
92183,5/19/2017 0:23,51.61,55.04,55.98,65.97,73.03,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
