,Time,SA T,SA T Set,OA T,MA T,RA T,SA Fan Stat,RA Fan Stat,SA Speed,RA Speed,OA Damper,RA Damper,Cooling valve,Heating valve,SA Pressure Set,SA Pressure,Occupancy,Fault
182880,9/5/2017 0:00,53.42,55.04,51.46,66.09,74.83,0,0,0.0,0.0,0.0,0.0,0.05,0,0.04,0.0,0,1
182881,9/5/2017 0:01,53.42,55.04,51.44,66.09,74.83,0,0,0.0,0.0,0.0,0.0,0.05,0,0.04,0.0,0,1
182882,9/5/2017 0:02,53.42,55.04,51.46,66.09,74.82,0,0,0.0,0.0,0.0,0.0,0.05,0,0.04,0.0,0,1
182883,9/5/2017 0:03,53.42,55.04,51.47,66.09,74.82,0,0,0.0,0.0,0.0,0.0,0.05,0,0.04,0.0,0,1
182884,9/5/2017 0:04,53.42,55.04,51.49,66.09,74.81,0,0,0.0,0.0,0.0,0.0,0.05,0,0.04,0.0,0,1
182885,9/5/2017 0:05,53.42,55.04,51.5,66.09,74.81,0,0,0.0,0.0,0.0,0.0,0.05,0,0.04,0.0,0,1
182886,9/5/2017 0:06,53.42,55.04,51.52,66.09,74.8,0,0,0.0,0.0,0.0,0.0,0.05,0,0.04,0.0,0,1
182887,9/5/2017 0:07,53.42,55.04,51.53,66.09,74.8,0,0,0.0,0.0,0.0,0.0,0.05,0,0.04,0.0,0,1
182888,9/5/2017 0:08,53.42,55.04,51.54,66.09,74.79,0,0,0.0,0.0,0.0,0.0,0.05,0,0.04,0.0,0,1
182889,9/5/2017 0:09,53.42,55.04,51.56,66.09,74.79,0,0,0.0,0.0,0.0,0.0,0.05,0,0.04,0.0,0,1
182890,9/5/2017 0:10,53.42,55.04,51.57,66.09,74.78,0,0,0.0,0.0,0.0,0.0,0.05,0,0.04,0.0,0,1
182891,9/5/2017 0:11,53.42,55.04,51.59,66.09,74.78,0,0,0.0,0.0,0.0,0.0,0.05,0,0.04,0.0,0,1
182892,9/5/2017 0:12,53.42,55.04,51.6,66.09,74.77,0,0,0.0,0.0,0.0,0.0,0.05,0,0.04,0.0,0,1
182893,9/5/2017 0:13,53.42,55.04,51.62,66.09,74.77,0,0,0.0,0.0,0.0,0.0,0.05,0,0.04,0.0,0,1
182894,9/5/2017 0:14,53.42,55.04,51.63,66.09,74.76,0,0,0.0,0.0,0.0,0.0,0.05,0,0.04,0.0,0,1
182895,9/5/2017 0:15,53.42,55.04,51.65,66.09,74.76,0,0,0.0,0.0,0.0,0.0,0.05,0,0.04,0.0,0,1
182896,9/5/2017 0:16,53.42,55.04,51.67,66.09,74.76,0,0,0.0,0.0,0.0,0.0,0.05,0,0.04,0.0,0,1
182897,9/5/2017 0:17,53.42,55.04,51.68,66.09,74.75,0,0,0.0,0.0,0.0,0.0,0.05,0,0.04,0.0,0,1
182898,9/5/2017 0:18,53.42,55.04,51.7,66.09,74.75,0,0,0.0,0.0,0.0,0.0,0.05,0,0.04,0.0,0,1
182899,9/5/2017 0:19,53.42,55.04,51.71,66.09,74.75,0,0,0.0,0.0,0.0,0.0,0.05,0,0.04,0.0,0,1
182900,9/5/2017 0:20,53.42,55.04,51.73,66.09,74.74,0,0,0.0,0.0,0.0,0.0,0.05,0,0.04,0.0,0,1
182901,9/5/2017 0:21,53.42,55.04,51.74,66.09,74.74,0,0,0.0,0.0,0.0,0.0,0.05,0,0.04,0.0,0,1
182902,9/5/2017 0:22,53.42,55.04,51.76,66.09,74.74,0,0,0.0,0.0,0.0,0.0,0.05,0,0.04,0.0,0,1
182903,9/5/2017 0:23,53.42,55.04,51.77,66.09,74.73,0,0,0.0,0.0,0.0,0.0,0.05,0,0.04,0.0,0,1
182904,9/5/2017 0:24,53.42,55.04,51.78,66.09,74.73,0,0,0.0,0.0,0.0,0.0,0.05,0,0.04,0.0,0,1
182905,9/5/2017 0:25,53.42,55.04,51.8,66.09,74.73,0,0,0.0,0.0,0.0,0.0,0.05,0,0.04,0.0,0,1
182906,9/5/2017 0:26,53.42,55.04,51.81,66.09,74.72,0,0,0.0,0.0,0.0,0.0,0.05,0,0.04,0.0,0,1
182907,9/5/2017 0:27,53.42,55.04,51.83,66.09,74.72,0,0,0.0,0.0,0.0,0.0,0.05,0,0.04,0.0,0,1
182908,9/5/2017 0:28,53.42,55.04,51.84,66.09,74.72,0,0,0.0,0.0,0.0,0.0,0.05,0,0.04,0.0,0,1
182909,9/5/2017 0:29,53.42,55.04,51.86,66.09,74.71,0,0,0.0,0.0,0.0,0.0,0.05,0,0.04,0.0,0,1
182910,9/5/2017 0:30,53.42,55.04,51.88,66.09,74.71,0,0,0.0,0.0,0.0,0.0,0.05,0,0.04,0.0,0,1
182911,9/5/2017 0:31,53.42,55.04,51.89,66.09,74.71,0,0,0.0,0.0,0.0,0.0,0.05,0,0.04,0.0,0,1
182912,9/5/2017 0:32,53.42,55.04,51.91,66.09,74.71,0,0,0.0,0.0,0.0,0.0,0.05,0,0.04,0.0,0,1
182913,9/5/2017 0:33,53.42,55.04,51.92,66.09,74.7,0,0,0.0,0.0,0.0,0.0,0.05,0,0.04,0.0,0,1
182914,9/5/2017 0:34,53.42,55.04,51.94,66.09,74.7,0,0,0.0,0.0,0.0,0.0,0.05,0,0.04,0.0,0,1
182915,9/5/2017 0:35,53.42,55.04,51.95,66.09,74.7,0,0,0.0,0.0,0.0,0.0,0.05,0,0.04,0.0,0,1
182916,9/5/2017 0:36,53.42,55.04,51.97,66.09,74.7,0,0,0.0,0.0,0.0,0.0,0.05,0,0.04,0.0,0,1
182917,9/5/2017 0:37,53.42,55.04,51.98,66.09,74.69,0,0,0.0,0.0,0.0,0.0,0.05,0,0.04,0.0,0,1
182918,9/5/2017 0:38,53.42,55.04,51.99,66.09,74.69,0,0,0.0,0.0,0.0,0.0,0.05,0,0.04,0.0,0,1
182919,9/5/2017 0:39,53.42,55.04,52.01,66.09,74.69,0,0,0.0,0.0,0.0,0.0,0.05,0,0.04,0.0,0,1
182920,9/5/2017 0:40,53.42,55.04,52.02,66.09,74.69,0,0,0.0,0.0,0.0,0.0,0.05,0,0.04,0.0,0,1
182921,9/5/2017 0:41,53.42,55.04,52.04,66.09,74.69,0,0,0.0,0.0,0.0,0.0,0.05,0,0.04,0.0,0,1
182922,9/5/2017 0:42,53.42,55.04,52.05,66.09,74.68,0,0,0.0,0.0,0.0,0.0,0.05,0,0.04,0.0,0,1
182923,9/5/2017 0:43,53.42,55.04,52.07,66.09,74.68,0,0,0.0,0.0,0.0,0.0,0.05,0,0.04,0.0,0,1
182924,9/5/2017 0:44,53.42,55.04,52.08,66.09,74.68,0,0,0.0,0.0,0.0,0.0,0.05,0,0.04,0.0,0,1
182925,9/5/2017 0:45,53.42,55.04,52.1,66.09,74.68,0,0,0.0,0.0,0.0,0.0,0.05,0,0.04,0.0,0,1
182926,9/5/2017 0:46,53.42,55.04,52.12,66.09,74.68,0,0,0.0,0.0,0.0,0.0,0.05,0,0.04,0.0,0,1
182927,9/5/2017 0:47,53.42,55.04,52.13,66.09,74.67,0,0,0.0,0.0,0.0,0.0,0.05,0,0.04,0.0,0,1
182928,9/5/2017 0:48,53.42,55.04,52.15,66.09,74.67,0,0,0.0,0.0,0.0,0.0,0.05,0,0.04,0.0,0,1
182929,9/5/2017 0:49,53.42,55.04,52.16,66.09,74.67,0,0,0.0,0.0,0.0,0.0,0.05,0,0.04,0.0,0,1
182930,9/5/2017 0:50,53.42,55.04,52.18,66.09,74.67,0,0,0.0,0.0,0.0,0.0,0.05,0,0.04,0.0,0,1
182931,9/5/2017 0:51,53.42,55.04,52.19,66.09,74.67,0,0,0.0,0.0,0.0,0.0,0.05,0,0.04,0.0,0,1
182932,9/5/2017 0:52,53.42,55.04,52.21,66.09,74.66,0,0,0.0,0.0,0.0,0.0,0.05,0,0.04,0.0,0,1
182933,9/5/2017 0:53,53.42,55.04,52.22,66.09,74.66,0,0,0.0,0.0,0.0,0.0,0.05,0,0.04,0.0,0,1
182934,9/5/2017 0:54,53.42,55.04,52.23,66.09,74.66,0,0,0.0,0.0,0.0,0.0,0.05,0,0.04,0.0,0,1
182935,9/5/2017 0:55,53.42,55.04,52.25,66.09,74.66,0,0,0.0,0.0,0.0,0.0,0.05,0,0.04,0.0,0,1
182936,9/5/2017 0:56,53.42,55.04,52.26,66.09,74.66,0,0,0.0,0.0,0.0,0.0,0.05,0,0.04,0.0,0,1
182937,9/5/2017 0:57,53.42,55.04,52.28,66.09,74.66,0,0,0.0,0.0,0.0,0.0,0.05,0,0.04,0.0,0,1
182938,9/5/2017 0:58,53.42,55.04,52.29,66.09,74.65,0,0,0.0,0.0,0.0,0.0,0.05,0,0.04,0.0,0,1
182939,9/5/2017 0:59,53.42,55.04,52.31,66.09,74.65,0,0,0.0,0.0,0.0,0.0,0.05,0,0.04,0.0,0,1
182940,9/5/2017 1:00,53.42,55.04,52.33,66.09,74.65,0,0,0.0,0.0,0.0,0.0,0.05,0,0.04,0.0,0,1
182941,9/5/2017 1:01,53.42,55.04,52.34,66.09,74.65,0,0,0.0,0.0,0.0,0.0,0.05,0,0.04,0.0,0,1
182942,9/5/2017 1:02,53.42,55.04,52.34,66.09,74.65,0,0,0.0,0.0,0.0,0.0,0.05,0,0.04,0.0,0,1
182943,9/5/2017 1:03,53.42,55.04,52.34,66.09,74.65,0,0,0.0,0.0,0.0,0.0,0.05,0,0.04,0.0,0,1
182944,9/5/2017 1:04,53.42,55.04,52.34,66.09,74.65,0,0,0.0,0.0,0.0,0.0,0.05,0,0.04,0.0,0,1
182945,9/5/2017 1:05,53.42,55.04,52.34,66.09,74.64,0,0,0.0,0.0,0.0,0.0,0.05,0,0.04,0.0,0,1
182946,9/5/2017 1:06,53.42,55.04,52.34,66.09,74.64,0,0,0.0,0.0,0.0,0.0,0.05,0,0.04,0.0,0,1
182947,9/5/2017 1:07,53.42,55.04,52.34,66.09,74.64,0,0,0.0,0.0,0.0,0.0,0.05,0,0.04,0.0,0,1
182948,9/5/2017 1:08,53.42,55.04,52.34,66.09,74.64,0,0,0.0,0.0,0.0,0.0,0.05,0,0.04,0.0,0,1
182949,9/5/2017 1:09,53.42,55.04,52.34,66.09,74.64,0,0,0.0,0.0,0.0,0.0,0.05,0,0.04,0.0,0,1
182950,9/5/2017 1:10,53.42,55.04,52.34,66.09,74.63,0,0,0.0,0.0,0.0,0.0,0.05,0,0.04,0.0,0,1
182951,9/5/2017 1:11,53.42,55.04,52.34,66.09,74.63,0,0,0.0,0.0,0.0,0.0,0.05,0,0.04,0.0,0,1
182952,9/5/2017 1:12,53.42,55.04,52.34,66.09,74.63,0,0,0.0,0.0,0.0,0.0,0.05,0,0.04,0.0,0,1
182953,9/5/2017 1:13,53.42,55.04,52.34,66.09,74.63,0,0,0.0,0.0,0.0,0.0,0.05,0,0.04,0.0,0,1
