,Time,SA T,SA T Set,OA T,MA T,RA T,SA Fan Stat,RA Fan Stat,SA Speed,RA Speed,OA Damper,RA Damper,Cooling valve,Heating valve,SA Pressure Set,SA Pressure,Occupancy,Fault
177120,9/1/2017 0:00,54.1,55.04,64.23,73.35,77.61,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,1
177121,9/1/2017 0:01,54.1,55.04,64.22,73.35,77.6,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,1
177122,9/1/2017 0:02,54.1,55.04,64.2,73.35,77.6,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,1
177123,9/1/2017 0:03,54.1,55.04,64.18,73.35,77.6,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,1
177124,9/1/2017 0:04,54.1,55.04,64.17,73.35,77.59,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,1
177125,9/1/2017 0:05,54.1,55.04,64.15,73.35,77.59,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,1
177126,9/1/2017 0:06,54.1,55.04,64.13,73.35,77.59,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,1
177127,9/1/2017 0:07,54.1,55.04,64.11,73.35,77.58,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,1
177128,9/1/2017 0:08,54.1,55.04,64.09,73.35,77.58,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,1
177129,9/1/2017 0:09,54.1,55.04,64.08,73.35,77.58,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,1
177130,9/1/2017 0:10,54.1,55.04,64.06,73.35,77.57,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,1
177131,9/1/2017 0:11,54.1,55.04,64.04,73.35,77.57,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,1
177132,9/1/2017 0:12,54.1,55.04,64.02,73.35,77.57,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,1
177133,9/1/2017 0:13,54.1,55.04,64.0,73.35,77.56,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,1
177134,9/1/2017 0:14,54.1,55.04,63.99,73.35,77.56,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,1
177135,9/1/2017 0:15,54.1,55.04,63.97,73.35,77.55,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,1
177136,9/1/2017 0:16,54.1,55.04,63.95,73.35,77.55,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,1
177137,9/1/2017 0:17,54.1,55.04,63.93,73.35,77.55,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,1
177138,9/1/2017 0:18,54.1,55.04,63.91,73.35,77.54,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,1
177139,9/1/2017 0:19,54.1,55.04,63.9,73.35,77.54,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,1
177140,9/1/2017 0:20,54.1,55.04,63.88,73.35,77.54,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,1
177141,9/1/2017 0:21,54.1,55.04,63.86,73.35,77.53,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,1
177142,9/1/2017 0:22,54.1,55.04,63.84,73.35,77.53,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,1
177143,9/1/2017 0:23,54.1,55.04,63.82,73.35,77.53,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,1
177144,9/1/2017 0:24,54.1,55.04,63.81,73.35,77.52,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,1
177145,9/1/2017 0:25,54.1,55.04,63.79,73.35,77.52,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,1
177146,9/1/2017 0:26,54.1,55.04,63.77,73.35,77.51,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,1
177147,9/1/2017 0:27,54.1,55.04,63.75,73.35,77.51,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,1
177148,9/1/2017 0:28,54.1,55.04,63.73,73.35,77.51,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,1
177149,9/1/2017 0:29,54.1,55.04,63.72,73.35,77.5,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,1
177150,9/1/2017 0:30,54.1,55.04,63.7,73.35,77.5,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,1
177151,9/1/2017 0:31,54.1,55.04,63.68,73.35,77.5,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,1
177152,9/1/2017 0:32,54.1,55.04,63.66,73.35,77.49,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,1
177153,9/1/2017 0:33,54.1,55.04,63.64,73.35,77.49,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,1
177154,9/1/2017 0:34,54.1,55.04,63.63,73.35,77.48,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,1
177155,9/1/2017 0:35,54.1,55.04,63.61,73.35,77.48,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,1
177156,9/1/2017 0:36,54.1,55.04,63.59,73.35,77.48,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,1
177157,9/1/2017 0:37,54.1,55.04,63.57,73.35,77.47,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,1
177158,9/1/2017 0:38,54.1,55.04,63.55,73.35,77.47,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,1
177159,9/1/2017 0:39,54.1,55.04,63.54,73.35,77.47,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,1
