,Time,SA T,SA T Set,OA T,MA T,RA T,SA Fan Stat,RA Fan Stat,SA Speed,RA Speed,OA Damper,RA Damper,Cooling valve,Heating valve,SA Pressure Set,SA Pressure,Occupancy,Fault
17280,2/11/2017 0:00,51.96,55.04,41.72,60.66,67.14,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
17281,2/11/2017 0:01,51.96,55.04,41.72,60.66,67.13,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
17282,2/11/2017 0:02,51.96,55.04,41.7,60.66,67.11,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
17283,2/11/2017 0:03,51.96,55.04,41.69,60.66,67.09,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
17284,2/11/2017 0:04,51.96,55.04,41.67,60.66,67.07,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
17285,2/11/2017 0:05,51.96,55.04,41.66,60.66,67.06,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
17286,2/11/2017 0:06,51.96,55.04,41.64,60.66,67.04,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
17287,2/11/2017 0:07,51.96,55.04,41.63,60.66,67.02,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
17288,2/11/2017 0:08,51.96,55.04,41.62,60.66,67.01,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
17289,2/11/2017 0:09,51.96,55.04,41.6,60.66,66.99,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
17290,2/11/2017 0:10,51.96,55.04,41.59,60.66,66.98,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
17291,2/11/2017 0:11,51.96,55.04,41.57,60.66,66.96,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
17292,2/11/2017 0:12,51.96,55.04,41.56,60.66,66.95,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
17293,2/11/2017 0:13,51.96,55.04,41.54,60.66,66.93,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
17294,2/11/2017 0:14,51.96,55.04,41.53,60.66,66.91,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
17295,2/11/2017 0:15,51.96,55.04,41.51,60.66,66.9,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
17296,2/11/2017 0:16,51.96,55.04,41.49,60.66,66.89,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
17297,2/11/2017 0:17,51.96,55.04,41.48,60.66,66.87,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
17298,2/11/2017 0:18,51.96,55.04,41.46,60.66,66.86,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
17299,2/11/2017 0:19,51.96,55.04,41.45,60.66,66.84,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
17300,2/11/2017 0:20,51.96,55.04,41.43,60.66,66.83,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
17301,2/11/2017 0:21,51.96,55.04,41.42,60.66,66.81,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
17302,2/11/2017 0:22,51.96,55.04,41.41,60.66,66.8,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
17303,2/11/2017 0:23,51.96,55.04,41.39,60.66,66.79,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
17304,2/11/2017 0:24,51.96,55.04,41.38,60.66,66.77,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
17305,2/11/2017 0:25,51.96,55.04,41.36,60.66,66.76,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
