,Time,SA T,SA T Set,OA T,MA T,RA T,SA Fan Stat,RA Fan Stat,SA Speed,RA Speed,OA Damper,RA Damper,Cooling valve,Heating valve,SA Pressure Set,SA Pressure,Occupancy,Fault
129600,6/18/2017 0:00,51.49,55.04,37.75,61.75,68.2,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
129601,6/18/2017 0:01,51.49,55.04,37.76,61.75,68.2,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
129602,6/18/2017 0:02,51.49,55.04,37.78,61.75,68.2,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
129603,6/18/2017 0:03,51.49,55.04,37.8,61.75,68.2,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
129604,6/18/2017 0:04,51.49,55.04,37.81,61.75,68.2,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
129605,6/18/2017 0:05,51.49,55.04,37.83,61.75,68.19,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
129606,6/18/2017 0:06,51.49,55.04,37.85,61.75,68.19,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
129607,6/18/2017 0:07,51.49,55.04,37.87,61.75,68.19,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
129608,6/18/2017 0:08,51.49,55.04,37.89,61.75,68.19,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
129609,6/18/2017 0:09,51.49,55.04,37.9,61.75,68.19,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
129610,6/18/2017 0:10,51.49,55.04,37.92,61.75,68.19,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
129611,6/18/2017 0:11,51.49,55.04,37.94,61.75,68.18,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
129612,6/18/2017 0:12,51.49,55.04,37.96,61.75,68.18,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
129613,6/18/2017 0:13,51.49,55.04,37.98,61.75,68.18,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
129614,6/18/2017 0:14,51.49,55.04,37.99,61.75,68.18,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
129615,6/18/2017 0:15,51.49,55.04,38.01,61.75,68.18,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
129616,6/18/2017 0:16,51.49,55.04,38.03,61.75,68.18,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
129617,6/18/2017 0:17,51.49,55.04,38.05,61.75,68.18,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
129618,6/18/2017 0:18,51.49,55.04,38.07,61.75,68.17,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
129619,6/18/2017 0:19,51.49,55.04,38.08,61.75,68.17,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
129620,6/18/2017 0:20,51.49,55.04,38.1,61.75,68.17,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
129621,6/18/2017 0:21,51.49,55.04,38.12,61.75,68.17,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
129622,6/18/2017 0:22,51.49,55.04,38.14,61.75,68.17,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
129623,6/18/2017 0:23,51.49,55.04,38.16,61.75,68.17,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
129624,6/18/2017 0:24,51.49,55.04,38.17,61.75,68.17,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
129625,6/18/2017 0:25,51.49,55.04,38.19,61.75,68.16,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
129626,6/18/2017 0:26,51.49,55.04,38.21,61.75,68.16,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
129627,6/18/2017 0:27,51.49,55.04,38.23,61.75,68.16,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
129628,6/18/2017 0:28,51.49,55.04,38.25,61.75,68.16,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
129629,6/18/2017 0:29,51.49,55.04,38.26,61.75,68.16,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
129630,6/18/2017 0:30,51.49,55.04,38.28,61.75,68.16,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
129631,6/18/2017 0:31,51.49,55.04,38.3,61.75,68.16,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
129632,6/18/2017 0:32,51.49,55.04,38.32,61.75,68.16,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
129633,6/18/2017 0:33,51.49,55.04,38.34,61.75,68.15,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
129634,6/18/2017 0:34,51.49,55.04,38.35,61.75,68.15,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
129635,6/18/2017 0:35,51.49,55.04,38.37,61.75,68.15,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
129636,6/18/2017 0:36,51.49,55.04,38.39,61.75,68.15,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
129637,6/18/2017 0:37,51.49,55.04,38.41,61.75,68.15,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
129638,6/18/2017 0:38,51.49,55.04,38.43,61.75,68.15,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
129639,6/18/2017 0:39,51.49,55.04,38.44,61.75,68.15,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
129640,6/18/2017 0:40,51.49,55.04,38.46,61.75,68.15,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
129641,6/18/2017 0:41,51.49,55.04,38.48,61.75,68.15,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
129642,6/18/2017 0:42,51.49,55.04,38.5,61.75,68.14,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
129643,6/18/2017 0:43,51.49,55.04,38.52,61.75,68.14,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
129644,6/18/2017 0:44,51.49,55.04,38.53,61.75,68.14,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
