,Time,SA T,SA T Set,OA T,MA T,RA T,SA Fan Stat,RA Fan Stat,SA Speed,RA Speed,OA Damper,RA Damper,Cooling valve,Heating valve,SA Pressure Set,SA Pressure,Occupancy,Fault
136800,8/4/2017 0:00,54.12,55.04,66.03,73.34,77.61,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,0
136801,8/4/2017 0:01,54.12,55.04,66.02,73.34,77.6,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,0
136802,8/4/2017 0:02,54.12,55.04,66.0,73.34,77.6,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,0
136803,8/4/2017 0:03,54.12,55.04,65.98,73.34,77.6,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,0
136804,8/4/2017 0:04,54.12,55.04,65.97,73.34,77.59,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,0
136805,8/4/2017 0:05,54.12,55.04,65.95,73.34,77.59,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,0
136806,8/4/2017 0:06,54.12,55.04,65.93,73.34,77.59,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,0
136807,8/4/2017 0:07,54.12,55.04,65.91,73.34,77.58,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,0
136808,8/4/2017 0:08,54.12,55.04,65.89,73.34,77.58,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,0
136809,8/4/2017 0:09,54.12,55.04,65.88,73.34,77.58,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,0
136810,8/4/2017 0:10,54.12,55.04,65.86,73.34,77.57,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,0
136811,8/4/2017 0:11,54.12,55.04,65.84,73.34,77.57,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,0
136812,8/4/2017 0:12,54.12,55.04,65.82,73.34,77.57,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,0
136813,8/4/2017 0:13,54.12,55.04,65.8,73.34,77.56,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,0
136814,8/4/2017 0:14,54.12,55.04,65.79,73.34,77.56,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,0
136815,8/4/2017 0:15,54.12,55.04,65.77,73.34,77.55,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,0
136816,8/4/2017 0:16,54.12,55.04,65.75,73.34,77.55,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,0
136817,8/4/2017 0:17,54.12,55.04,65.73,73.34,77.55,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,0
136818,8/4/2017 0:18,54.12,55.04,65.71,73.34,77.54,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,0
136819,8/4/2017 0:19,54.12,55.04,65.7,73.34,77.54,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,0
136820,8/4/2017 0:20,54.12,55.04,65.68,73.34,77.54,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,0
136821,8/4/2017 0:21,54.12,55.04,65.66,73.34,77.53,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,0
136822,8/4/2017 0:22,54.12,55.04,65.64,73.34,77.53,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,0
136823,8/4/2017 0:23,54.12,55.04,65.62,73.34,77.53,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,0
136824,8/4/2017 0:24,54.12,55.04,65.61,73.34,77.52,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,0
136825,8/4/2017 0:25,54.12,55.04,65.59,73.34,77.52,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,0
136826,8/4/2017 0:26,54.12,55.04,65.57,73.34,77.51,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,0
136827,8/4/2017 0:27,54.12,55.04,65.55,73.34,77.51,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,0
