,Time,SA T,SA T Set,OA T,MA T,RA T,SA Fan Stat,RA Fan Stat,SA Speed,RA Speed,OA Damper,RA Damper,Cooling valve,Heating valve,SA Pressure Set,SA Pressure,Occupancy,Fault
224640,11/15/2017 0:00,51.22,55.04,59.54,66.91,73.07,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
224641,11/15/2017 0:01,51.22,55.04,59.54,66.91,73.07,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
224642,11/15/2017 0:02,51.22,55.04,59.56,66.91,73.06,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
224643,11/15/2017 0:03,51.22,55.04,59.58,66.91,73.06,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
224644,11/15/2017 0:04,51.22,55.04,59.59,66.91,73.05,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
224645,11/15/2017 0:05,51.22,55.04,59.61,66.91,73.05,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
224646,11/15/2017 0:06,51.22,55.04,59.63,66.91,73.05,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
224647,11/15/2017 0:07,51.22,55.04,59.65,66.91,73.04,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
224648,11/15/2017 0:08,51.22,55.04,59.67,66.91,73.04,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
224649,11/15/2017 0:09,51.22,55.04,59.68,66.91,73.04,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
224650,11/15/2017 0:10,51.22,55.04,59.7,66.91,73.04,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
224651,11/15/2017 0:11,51.22,55.04,59.72,66.91,73.03,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
224652,11/15/2017 0:12,51.22,55.04,59.74,66.91,73.03,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
224653,11/15/2017 0:13,51.22,55.04,59.76,66.91,73.03,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
224654,11/15/2017 0:14,51.22,55.04,59.77,66.91,73.02,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
224655,11/15/2017 0:15,51.22,55.04,59.79,66.91,73.02,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
224656,11/15/2017 0:16,51.22,55.04,59.81,66.91,73.02,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
224657,11/15/2017 0:17,51.22,55.04,59.83,66.91,73.02,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
224658,11/15/2017 0:18,51.22,55.04,59.85,66.91,73.02,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
224659,11/15/2017 0:19,51.22,55.04,59.86,66.91,73.01,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
224660,11/15/2017 0:20,51.22,55.04,59.88,66.91,73.01,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
224661,11/15/2017 0:21,51.22,55.04,59.9,66.91,73.01,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
224662,11/15/2017 0:22,51.22,55.04,59.92,66.91,73.01,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
224663,11/15/2017 0:23,51.22,55.04,59.94,66.91,73.01,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
224664,11/15/2017 0:24,51.22,55.04,59.95,66.91,73.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
224665,11/15/2017 0:25,51.22,55.04,59.97,66.91,73.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
224666,11/15/2017 0:26,51.22,55.04,59.99,66.91,73.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
224667,11/15/2017 0:27,51.22,55.04,60.01,66.91,73.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
224668,11/15/2017 0:28,51.22,55.04,60.03,66.91,73.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
