,Time,SA T,SA T Set,OA T,MA T,RA T,SA Fan Stat,RA Fan Stat,SA Speed,RA Speed,OA Damper,RA Damper,Cooling valve,Heating valve,SA Pressure Set,SA Pressure,Occupancy,Fault
2880,2/1/2017 0:00,54.99,55.04,12.9,66.62,66.6,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,0
2881,2/1/2017 0:01,55.0,55.04,12.92,66.59,66.57,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,0
2882,2/1/2017 0:02,55.0,55.04,12.92,66.55,66.54,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,0
2883,2/1/2017 0:03,55.0,55.04,12.92,66.52,66.51,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,0
2884,2/1/2017 0:04,55.0,55.04,12.92,66.49,66.47,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,0
2885,2/1/2017 0:05,55.0,55.04,12.92,66.46,66.44,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,0
2886,2/1/2017 0:06,55.0,55.04,12.92,66.43,66.42,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,0
2887,2/1/2017 0:07,55.0,55.04,12.92,66.4,66.39,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,0
2888,2/1/2017 0:08,55.0,55.04,12.92,66.37,66.36,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,0
2889,2/1/2017 0:09,55.0,55.04,12.92,66.35,66.34,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,0
2890,2/1/2017 0:10,55.0,55.04,12.92,66.33,66.32,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,0
2891,2/1/2017 0:11,55.0,55.04,12.92,66.31,66.3,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,0
2892,2/1/2017 0:12,55.01,55.04,12.92,66.29,66.28,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,0
2893,2/1/2017 0:13,55.01,55.04,12.92,66.27,66.27,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,0
2894,2/1/2017 0:14,55.01,55.04,12.92,66.26,66.25,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,0
2895,2/1/2017 0:15,55.01,55.04,12.92,66.24,66.24,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,0
2896,2/1/2017 0:16,55.01,55.04,12.92,66.23,66.22,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,0
2897,2/1/2017 0:17,55.01,55.04,12.92,66.22,66.21,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,0
2898,2/1/2017 0:18,55.02,55.04,12.92,66.2,66.2,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,0
2899,2/1/2017 0:19,55.02,55.04,12.92,66.18,66.18,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,0
2900,2/1/2017 0:20,55.02,55.04,12.92,66.17,66.17,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,0
2901,2/1/2017 0:21,55.02,55.04,12.92,66.15,66.15,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,0
2902,2/1/2017 0:22,55.02,55.04,12.92,66.14,66.13,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,0
2903,2/1/2017 0:23,55.02,55.04,12.92,66.12,66.12,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,0
2904,2/1/2017 0:24,55.02,55.04,12.92,66.1,66.1,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,0
2905,2/1/2017 0:25,55.02,55.04,12.92,66.09,66.09,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,0
2906,2/1/2017 0:26,55.02,55.04,12.92,66.07,66.07,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,0
2907,2/1/2017 0:27,55.02,55.04,12.92,66.06,66.06,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,0
2908,2/1/2017 0:28,55.02,55.04,12.92,66.05,66.04,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,0
2909,2/1/2017 0:29,55.02,55.04,12.92,66.03,66.03,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,0
2910,2/1/2017 0:30,55.02,55.04,12.92,66.02,66.02,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,0
2911,2/1/2017 0:31,55.02,55.04,12.92,66.01,66.01,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,0
2912,2/1/2017 0:32,55.02,55.04,12.92,65.99,65.99,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,0
2913,2/1/2017 0:33,55.02,55.04,12.92,65.98,65.98,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,0
2914,2/1/2017 0:34,55.02,55.04,12.92,65.97,65.97,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,0
2915,2/1/2017 0:35,55.02,55.04,12.92,65.96,65.96,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,0
2916,2/1/2017 0:36,55.02,55.04,12.92,65.95,65.95,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,0
2917,2/1/2017 0:37,55.02,55.04,12.92,65.94,65.94,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,0
2918,2/1/2017 0:38,55.03,55.04,12.92,65.93,65.93,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,0
2919,2/1/2017 0:39,55.03,55.04,12.92,65.92,65.92,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,0
2920,2/1/2017 0:40,55.03,55.04,12.92,65.91,65.91,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,0
2921,2/1/2017 0:41,55.03,55.04,12.92,65.9,65.91,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,0
2922,2/1/2017 0:42,55.03,55.04,12.92,65.89,65.9,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,0
2923,2/1/2017 0:43,55.03,55.04,12.92,65.88,65.89,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,0
2924,2/1/2017 0:44,55.03,55.04,12.92,65.87,65.88,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,0
2925,2/1/2017 0:45,55.03,55.04,12.92,65.87,65.87,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,0
2926,2/1/2017 0:46,55.03,55.04,12.92,65.86,65.86,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,0
2927,2/1/2017 0:47,55.03,55.04,12.92,65.85,65.85,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,0
2928,2/1/2017 0:48,55.03,55.04,12.92,65.84,65.84,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,0
2929,2/1/2017 0:49,55.03,55.04,12.92,65.83,65.83,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,0
2930,2/1/2017 0:50,55.03,55.04,12.92,65.82,65.82,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,0
2931,2/1/2017 0:51,55.03,55.04,12.92,65.81,65.81,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,0
2932,2/1/2017 0:52,55.03,55.04,12.92,65.8,65.81,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,0
2933,2/1/2017 0:53,55.03,55.04,12.92,65.79,65.8,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,0
2934,2/1/2017 0:54,55.03,55.04,12.92,65.78,65.79,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,0
2935,2/1/2017 0:55,55.03,55.04,12.92,65.78,65.78,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,0
2936,2/1/2017 0:56,55.03,55.04,12.92,65.77,65.77,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,0
2937,2/1/2017 0:57,55.03,55.04,12.92,65.76,65.77,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,0
2938,2/1/2017 0:58,55.03,55.04,12.92,65.75,65.76,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,0
2939,2/1/2017 0:59,55.03,55.04,12.92,65.75,65.75,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,0
2940,2/1/2017 1:00,55.03,55.04,12.92,65.74,65.75,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,0
2941,2/1/2017 1:01,55.03,55.04,12.92,65.73,65.74,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,0
2942,2/1/2017 1:02,55.03,55.04,12.92,65.72,65.73,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,0
2943,2/1/2017 1:03,55.03,55.04,12.92,65.72,65.73,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,0
2944,2/1/2017 1:04,55.03,55.04,12.92,65.71,65.72,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,0
2945,2/1/2017 1:05,55.03,55.04,12.92,65.71,65.71,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,0
2946,2/1/2017 1:06,55.03,55.04,12.92,65.7,65.71,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,0
2947,2/1/2017 1:07,55.03,55.04,12.92,65.69,65.7,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,0
2948,2/1/2017 1:08,55.03,55.04,12.92,65.69,65.69,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,0
2949,2/1/2017 1:09,55.03,55.04,12.92,65.68,65.69,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,0
2950,2/1/2017 1:10,55.03,55.04,12.92,65.67,65.68,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,0
2951,2/1/2017 1:11,55.03,55.04,12.92,65.67,65.67,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,0
2952,2/1/2017 1:12,55.03,55.04,12.92,65.66,65.67,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,0
2953,2/1/2017 1:13,55.03,55.04,12.92,65.65,65.66,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,0
2954,2/1/2017 1:14,55.03,55.04,12.92,65.65,65.65,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,0
2955,2/1/2017 1:15,55.03,55.04,12.92,65.64,65.65,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,0
2956,2/1/2017 1:16,55.03,55.04,12.92,65.63,65.64,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,0
2957,2/1/2017 1:17,55.03,55.04,12.92,65.63,65.63,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,0
2958,2/1/2017 1:18,55.03,55.04,12.92,65.62,65.63,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,0
2959,2/1/2017 1:19,55.03,55.04,12.92,65.61,65.62,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,0
