,Time,SA T,SA T Set,OA T,MA T,RA T,SA Fan Stat,RA Fan Stat,SA Speed,RA Speed,OA Damper,RA Damper,Cooling valve,Heating valve,SA Pressure Set,SA Pressure,Occupancy,Fault
28800,2/19/2017 0:00,51.89,55.04,45.66,59.68,65.49,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
28801,2/19/2017 0:01,51.89,55.04,45.68,59.68,65.49,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
28802,2/19/2017 0:02,51.89,55.04,45.71,59.68,65.48,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
28803,2/19/2017 0:03,51.89,55.04,45.75,59.68,65.48,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
28804,2/19/2017 0:04,51.89,55.04,45.78,59.68,65.48,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
28805,2/19/2017 0:05,51.89,55.04,45.81,59.68,65.48,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
28806,2/19/2017 0:06,51.89,55.04,45.85,59.68,65.48,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
28807,2/19/2017 0:07,51.89,55.04,45.88,59.68,65.47,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
28808,2/19/2017 0:08,51.89,55.04,45.91,59.68,65.47,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
28809,2/19/2017 0:09,51.89,55.04,45.94,59.68,65.47,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
28810,2/19/2017 0:10,51.89,55.04,45.98,59.68,65.47,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
28811,2/19/2017 0:11,51.89,55.04,46.01,59.68,65.47,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
28812,2/19/2017 0:12,51.89,55.04,46.04,59.68,65.47,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
28813,2/19/2017 0:13,51.89,55.04,46.08,59.68,65.46,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
28814,2/19/2017 0:14,51.89,55.04,46.11,59.68,65.46,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
28815,2/19/2017 0:15,51.89,55.04,46.14,59.68,65.46,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
28816,2/19/2017 0:16,51.89,55.04,46.17,59.68,65.46,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
28817,2/19/2017 0:17,51.89,55.04,46.21,59.68,65.46,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
