,Time,SA T,SA T Set,OA T,MA T,RA T,SA Fan Stat,RA Fan Stat,SA Speed,RA Speed,OA Damper,RA Damper,Cooling valve,Heating valve,SA Pressure Set,SA Pressure,Occupancy,Fault
0,3/7/2017 0:00,55.01,55.04,14.846,66.61,66.61,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
1,3/7/2017 0:01,55.01,55.04,14.756,66.59,66.59,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
2,3/7/2017 0:02,55.01,55.04,14.809999999999999,66.57,66.56,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
3,3/7/2017 0:03,55.01,55.04,14.881999999999998,66.55,66.55,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
4,3/7/2017 0:04,55.01,55.04,14.936,66.53,66.53,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
5,3/7/2017 0:05,55.01,55.04,14.990000000000002,66.52,66.52,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
6,3/7/2017 0:06,55.01,55.04,15.044,66.51,66.5,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
7,3/7/2017 0:07,55.02,55.04,15.116,66.5,66.49,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
8,3/7/2017 0:08,55.02,55.04,15.170000000000002,66.49,66.49,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
9,3/7/2017 0:09,55.02,55.04,15.224,66.48,66.48,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
10,3/7/2017 0:10,55.02,55.04,15.296,66.47,66.47,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
11,3/7/2017 0:11,55.02,55.04,15.350000000000001,66.46,66.46,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
12,3/7/2017 0:12,55.02,55.04,15.404,66.45,66.45,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
13,3/7/2017 0:13,55.02,55.04,15.475999999999999,66.44,66.44,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
14,3/7/2017 0:14,55.02,55.04,15.529999999999998,66.43,66.43,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
15,3/7/2017 0:15,55.02,55.04,15.584,66.42,66.42,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
16,3/7/2017 0:16,55.02,55.04,15.637999999999998,66.41,66.41,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
17,3/7/2017 0:17,55.02,55.04,15.71,66.4,66.4,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
18,3/7/2017 0:18,55.03,55.04,15.764000000000003,66.39,66.39,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
19,3/7/2017 0:19,55.03,55.04,15.818000000000001,66.38,66.38,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
20,3/7/2017 0:20,55.03,55.04,15.89,66.37,66.37,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
21,3/7/2017 0:21,55.03,55.04,15.943999999999999,66.36,66.36,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
22,3/7/2017 0:22,55.03,55.04,15.997999999999998,66.35,66.35,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
23,3/7/2017 0:23,55.03,55.04,16.07,66.33,66.34,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
24,3/7/2017 0:24,55.03,55.04,16.124000000000002,66.32,66.33,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
25,3/7/2017 0:25,55.03,55.04,16.178000000000004,66.31,66.32,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
26,3/7/2017 0:26,55.03,55.04,16.232,66.3,66.3,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
27,3/7/2017 0:27,55.02,55.04,16.304,66.28,66.29,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
28,3/7/2017 0:28,55.02,55.04,16.358,66.27,66.28,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
29,3/7/2017 0:29,55.02,55.04,16.412,66.26,66.27,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
30,3/7/2017 0:30,55.02,55.04,16.484,66.25,66.25,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
31,3/7/2017 0:31,55.02,55.04,16.538,66.24,66.24,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
32,3/7/2017 0:32,55.03,55.04,16.592,66.22,66.23,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
33,3/7/2017 0:33,55.03,55.04,16.664,66.22,66.22,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
34,3/7/2017 0:34,55.03,55.04,16.718,66.21,66.21,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
35,3/7/2017 0:35,55.03,55.04,16.772,66.2,66.21,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
36,3/7/2017 0:36,55.03,55.04,16.826,66.19,66.2,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
37,3/7/2017 0:37,55.03,55.04,16.898,66.18,66.19,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
38,3/7/2017 0:38,55.03,55.04,16.952,66.18,66.19,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
39,3/7/2017 0:39,55.03,55.04,17.006,66.17,66.18,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
40,3/7/2017 0:40,55.03,55.04,17.078000000000003,66.16,66.17,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
41,3/7/2017 0:41,55.03,55.04,17.131999999999998,66.16,66.17,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
42,3/7/2017 0:42,55.03,55.04,17.186,66.15,66.16,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
43,3/7/2017 0:43,55.03,55.04,17.258000000000003,66.14,66.15,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
44,3/7/2017 0:44,55.03,55.04,17.312,66.14,66.15,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
45,3/7/2017 0:45,55.03,55.04,17.366,66.13,66.14,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
46,3/7/2017 0:46,55.03,55.04,17.438,66.12,66.13,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
47,3/7/2017 0:47,55.03,55.04,17.491999999999997,66.12,66.13,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
48,3/7/2017 0:48,55.03,55.04,17.546,66.11,66.12,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
49,3/7/2017 0:49,55.03,55.04,17.6,66.1,66.11,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
50,3/7/2017 0:50,55.03,55.04,17.672,66.1,66.11,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
51,3/7/2017 0:51,55.03,55.04,17.726,66.09,66.1,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
52,3/7/2017 0:52,55.03,55.04,17.779999999999998,66.08,66.09,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
53,3/7/2017 0:53,55.03,55.04,17.851999999999997,66.08,66.09,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
54,3/7/2017 0:54,55.03,55.04,17.906,66.07,66.08,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
55,3/7/2017 0:55,55.03,55.04,17.96,66.06,66.07,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
56,3/7/2017 0:56,55.03,55.04,18.032,66.05,66.06,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
57,3/7/2017 0:57,55.03,55.04,18.086,66.05,66.06,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
58,3/7/2017 0:58,55.03,55.04,18.14,66.04,66.05,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
59,3/7/2017 0:59,55.03,55.04,18.194,66.03,66.04,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
60,3/7/2017 1:00,55.03,55.04,18.266,66.02,66.03,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
61,3/7/2017 1:01,55.03,55.04,18.32,66.02,66.03,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
62,3/7/2017 1:02,55.03,55.04,18.284,66.01,66.02,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
63,3/7/2017 1:03,55.03,55.04,18.248,66.0,66.01,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
64,3/7/2017 1:04,55.03,55.04,18.229999999999997,66.0,66.01,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
65,3/7/2017 1:05,55.03,55.04,18.194,65.99,66.0,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
66,3/7/2017 1:06,55.03,55.04,18.157999999999998,65.98,65.99,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
67,3/7/2017 1:07,55.03,55.04,18.122,65.98,65.99,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
68,3/7/2017 1:08,55.03,55.04,18.086,65.97,65.98,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
69,3/7/2017 1:09,55.03,55.04,18.068,65.96,65.98,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
70,3/7/2017 1:10,55.03,55.04,18.032,65.96,65.97,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
71,3/7/2017 1:11,55.03,55.04,17.996000000000002,65.95,65.96,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
72,3/7/2017 1:12,55.03,55.04,17.96,65.95,65.96,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
73,3/7/2017 1:13,55.03,55.04,17.924,65.94,65.95,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
74,3/7/2017 1:14,55.03,55.04,17.906,65.94,65.95,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
75,3/7/2017 1:15,55.03,55.04,17.87,65.93,65.94,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
76,3/7/2017 1:16,55.03,55.04,17.834,65.93,65.94,1,1,1.0,1.0,0.0,0.0,0.01,0,0.04,0.11,0,1
