,Time,SA T,SA T Set,OA T,MA T,RA T,SA Fan Stat,RA Fan Stat,SA Speed,RA Speed,OA Damper,RA Damper,Cooling valve,Heating valve,SA Pressure Set,SA Pressure,Occupancy,Fault
97920,5/24/2017 0:00,54.19,55.04,54.17,71.05,71.86,0,0,0.0,0.0,0.0,0.0,0.03,0,0.04,0.0,0,1
97921,5/24/2017 0:01,54.19,55.04,54.14,71.05,71.85,0,0,0.0,0.0,0.0,0.0,0.03,0,0.04,0.0,0,1
97922,5/24/2017 0:02,54.19,55.04,54.16,71.05,71.84,0,0,0.0,0.0,0.0,0.0,0.03,0,0.04,0.0,0,1
97923,5/24/2017 0:03,54.19,55.04,54.18,71.05,71.83,0,0,0.0,0.0,0.0,0.0,0.03,0,0.04,0.0,0,1
97924,5/24/2017 0:04,54.19,55.04,54.19,71.05,71.82,0,0,0.0,0.0,0.0,0.0,0.03,0,0.04,0.0,0,1
97925,5/24/2017 0:05,54.19,55.04,54.21,71.05,71.81,0,0,0.0,0.0,0.0,0.0,0.03,0,0.04,0.0,0,1
97926,5/24/2017 0:06,54.19,55.04,54.23,71.05,71.81,0,0,0.0,0.0,0.0,0.0,0.03,0,0.04,0.0,0,1
97927,5/24/2017 0:07,54.19,55.04,54.25,71.05,71.8,0,0,0.0,0.0,0.0,0.0,0.03,0,0.04,0.0,0,1
97928,5/24/2017 0:08,54.19,55.04,54.27,71.05,71.79,0,0,0.0,0.0,0.0,0.0,0.03,0,0.04,0.0,0,1
97929,5/24/2017 0:09,54.19,55.04,54.28,71.05,71.78,0,0,0.0,0.0,0.0,0.0,0.03,0,0.04,0.0,0,1
97930,5/24/2017 0:10,54.19,55.04,54.3,71.05,71.78,0,0,0.0,0.0,0.0,0.0,0.03,0,0.04,0.0,0,1
97931,5/24/2017 0:11,54.19,55.04,54.32,71.05,71.77,0,0,0.0,0.0,0.0,0.0,0.03,0,0.04,0.0,0,1
97932,5/24/2017 0:12,54.19,55.04,54.34,71.05,71.76,0,0,0.0,0.0,0.0,0.0,0.03,0,0.04,0.0,0,1
97933,5/24/2017 0:13,54.19,55.04,54.36,71.05,71.76,0,0,0.0,0.0,0.0,0.0,0.03,0,0.04,0.0,0,1
97934,5/24/2017 0:14,54.19,55.04,54.37,71.05,71.75,0,0,0.0,0.0,0.0,0.0,0.03,0,0.04,0.0,0,1
97935,5/24/2017 0:15,54.19,55.04,54.39,71.05,71.75,0,0,0.0,0.0,0.0,0.0,0.03,0,0.04,0.0,0,1
97936,5/24/2017 0:16,54.19,55.04,54.41,71.05,71.74,0,0,0.0,0.0,0.0,0.0,0.03,0,0.04,0.0,0,1
97937,5/24/2017 0:17,54.19,55.04,54.43,71.05,71.74,0,0,0.0,0.0,0.0,0.0,0.03,0,0.04,0.0,0,1
97938,5/24/2017 0:18,54.19,55.04,54.45,71.05,71.73,0,0,0.0,0.0,0.0,0.0,0.03,0,0.04,0.0,0,1
97939,5/24/2017 0:19,54.19,55.04,54.46,71.05,71.73,0,0,0.0,0.0,0.0,0.0,0.03,0,0.04,0.0,0,1
97940,5/24/2017 0:20,54.19,55.04,54.48,71.05,71.72,0,0,0.0,0.0,0.0,0.0,0.03,0,0.04,0.0,0,1
97941,5/24/2017 0:21,54.19,55.04,54.5,71.05,71.72,0,0,0.0,0.0,0.0,0.0,0.03,0,0.04,0.0,0,1
97942,5/24/2017 0:22,54.19,55.04,54.52,71.05,71.71,0,0,0.0,0.0,0.0,0.0,0.03,0,0.04,0.0,0,1
