,Time,SA T,SA T Set,OA T,MA T,RA T,SA Fan Stat,RA Fan Stat,SA Speed,RA Speed,OA Damper,RA Damper,Cooling valve,Heating valve,SA Pressure Set,SA Pressure,Occupancy,Fault
128160,6/17/2017 0:00,51.7,55.04,38.86,66.09,71.88,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
128161,6/17/2017 0:01,51.7,55.04,38.84,66.09,71.87,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
128162,6/17/2017 0:02,51.7,55.04,38.84,66.09,71.85,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
128163,6/17/2017 0:03,51.7,55.04,38.84,66.09,71.84,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
128164,6/17/2017 0:04,51.7,55.04,38.84,66.09,71.83,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
128165,6/17/2017 0:05,51.7,55.04,38.84,66.09,71.81,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
128166,6/17/2017 0:06,51.7,55.04,38.84,66.09,71.8,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
128167,6/17/2017 0:07,51.7,55.04,38.84,66.09,71.79,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
128168,6/17/2017 0:08,51.7,55.04,38.84,66.09,71.77,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
128169,6/17/2017 0:09,51.7,55.04,38.84,66.09,71.76,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
128170,6/17/2017 0:10,51.7,55.04,38.84,66.09,71.75,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
128171,6/17/2017 0:11,51.7,55.04,38.84,66.09,71.74,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
128172,6/17/2017 0:12,51.7,55.04,38.84,66.09,71.73,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
128173,6/17/2017 0:13,51.7,55.04,38.84,66.09,71.72,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
128174,6/17/2017 0:14,51.7,55.04,38.84,66.09,71.71,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
128175,6/17/2017 0:15,51.7,55.04,38.84,66.09,71.7,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
128176,6/17/2017 0:16,51.7,55.04,38.84,66.09,71.69,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
128177,6/17/2017 0:17,51.7,55.04,38.84,66.09,71.68,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
128178,6/17/2017 0:18,51.7,55.04,38.84,66.09,71.67,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
128179,6/17/2017 0:19,51.7,55.04,38.84,66.09,71.66,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
128180,6/17/2017 0:20,51.7,55.04,38.84,66.09,71.65,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
128181,6/17/2017 0:21,51.7,55.04,38.84,66.09,71.64,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
128182,6/17/2017 0:22,51.7,55.04,38.84,66.09,71.63,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
128183,6/17/2017 0:23,51.7,55.04,38.84,66.09,71.62,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
128184,6/17/2017 0:24,51.7,55.04,38.84,66.09,71.61,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
128185,6/17/2017 0:25,51.7,55.04,38.84,66.09,71.6,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
128186,6/17/2017 0:26,51.7,55.04,38.84,66.09,71.6,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
128187,6/17/2017 0:27,51.7,55.04,38.84,66.09,71.59,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
128188,6/17/2017 0:28,51.7,55.04,38.84,66.09,71.58,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
128189,6/17/2017 0:29,51.7,55.04,38.84,66.09,71.57,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
128190,6/17/2017 0:30,51.7,55.04,38.84,66.09,71.56,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
128191,6/17/2017 0:31,51.7,55.04,38.84,66.09,71.56,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
128192,6/17/2017 0:32,51.7,55.04,38.84,66.09,71.55,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
128193,6/17/2017 0:33,51.7,55.04,38.84,66.09,71.54,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
128194,6/17/2017 0:34,51.7,55.04,38.84,66.09,71.54,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
128195,6/17/2017 0:35,51.7,55.04,38.84,66.09,71.53,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
128196,6/17/2017 0:36,51.7,55.04,38.84,66.09,71.52,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
