,Time,SA T,SA T Set,OA T,MA T,RA T,SA Fan Stat,RA Fan Stat,SA Speed,RA Speed,OA Damper,RA Damper,Cooling valve,Heating valve,SA Pressure Set,SA Pressure,Occupancy,Fault
198720,9/16/2017 0:00,54.0,55.04,57.73,73.59,77.47,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,1
198721,9/16/2017 0:01,54.0,55.04,57.74,73.59,77.47,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,1
198722,9/16/2017 0:02,54.0,55.04,57.71,73.59,77.47,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,1
198723,9/16/2017 0:03,54.0,55.04,57.67,73.59,77.46,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,1
198724,9/16/2017 0:04,54.0,55.04,57.64,73.59,77.46,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,1
198725,9/16/2017 0:05,54.0,55.04,57.61,73.59,77.45,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,1
198726,9/16/2017 0:06,54.0,55.04,57.58,73.59,77.45,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,1
198727,9/16/2017 0:07,54.0,55.04,57.54,73.59,77.44,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,1
198728,9/16/2017 0:08,54.0,55.04,57.51,73.59,77.44,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,1
198729,9/16/2017 0:09,54.0,55.04,57.48,73.59,77.43,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,1
198730,9/16/2017 0:10,54.0,55.04,57.44,73.59,77.43,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,1
198731,9/16/2017 0:11,54.0,55.04,57.41,73.59,77.42,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,1
198732,9/16/2017 0:12,54.0,55.04,57.38,73.59,77.42,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,1
198733,9/16/2017 0:13,54.0,55.04,57.34,73.59,77.41,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,1
198734,9/16/2017 0:14,54.0,55.04,57.31,73.59,77.41,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,1
198735,9/16/2017 0:15,54.0,55.04,57.28,73.59,77.4,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,1
198736,9/16/2017 0:16,54.0,55.04,57.24,73.59,77.4,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,1
198737,9/16/2017 0:17,54.0,55.04,57.21,73.59,77.39,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,1
198738,9/16/2017 0:18,54.0,55.04,57.18,73.59,77.39,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,1
198739,9/16/2017 0:19,54.0,55.04,57.15,73.59,77.38,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,1
198740,9/16/2017 0:20,54.0,55.04,57.11,73.59,77.38,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,1
198741,9/16/2017 0:21,54.0,55.04,57.08,73.59,77.37,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,1
198742,9/16/2017 0:22,54.0,55.04,57.05,73.59,77.36,0,0,0.0,0.0,0.0,0.0,0.04,0,0.04,0.0,0,1
