,Time,SA T,SA T Set,OA T,MA T,RA T,SA Fan Stat,RA Fan Stat,SA Speed,RA Speed,OA Damper,RA Damper,Cooling valve,Heating valve,SA Pressure Set,SA Pressure,Occupancy,Fault
0,2/6/2017 0:00,68.0,55.04,87.8,68.0,75.2,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
1,2/6/2017 0:01,67.99,55.04,87.8,66.71,75.2,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
2,2/6/2017 0:02,67.99,55.04,19.526,66.71,74.45,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
3,2/6/2017 0:03,67.99,55.04,19.616,66.71,74.04,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
4,2/6/2017 0:04,67.99,55.04,19.706,66.71,73.56,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
5,2/6/2017 0:05,67.99,55.04,19.796,66.71,73.13,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
6,2/6/2017 0:06,67.99,55.04,19.886,66.71,72.71,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
7,2/6/2017 0:07,67.99,55.04,19.994,66.71,72.3,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
8,2/6/2017 0:08,67.99,55.04,20.084,66.71,71.91,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
9,2/6/2017 0:09,67.99,55.04,20.174,66.71,71.52,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
10,2/6/2017 0:10,67.99,55.04,20.264,66.71,71.15,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
11,2/6/2017 0:11,67.99,55.04,20.354,66.71,70.79,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
12,2/6/2017 0:12,67.99,55.04,20.444,66.71,70.44,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
13,2/6/2017 0:13,67.99,55.04,20.534,66.71,70.1,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
14,2/6/2017 0:14,67.99,55.04,20.624,66.71,69.78,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
15,2/6/2017 0:15,67.99,55.04,20.714000000000002,66.71,69.47,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
16,2/6/2017 0:16,67.99,55.04,20.822,66.71,69.17,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
17,2/6/2017 0:17,67.99,55.04,20.912,66.71,68.88,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
18,2/6/2017 0:18,67.99,55.04,21.002,66.71,68.6,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
19,2/6/2017 0:19,67.99,55.04,21.092,66.71,68.34,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
20,2/6/2017 0:20,67.99,55.04,21.182,66.71,68.08,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
21,2/6/2017 0:21,67.99,55.04,21.272,66.71,67.84,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
22,2/6/2017 0:22,67.99,55.04,21.362,66.71,67.61,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
23,2/6/2017 0:23,67.99,55.04,21.451999999999998,66.71,67.38,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
24,2/6/2017 0:24,67.99,55.04,21.541999999999998,66.71,67.17,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
25,2/6/2017 0:25,67.99,55.04,21.631999999999998,66.71,66.96,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
26,2/6/2017 0:26,67.99,55.04,21.721999999999998,66.71,66.77,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
27,2/6/2017 0:27,67.99,55.04,21.83,66.71,66.58,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
28,2/6/2017 0:28,67.99,55.04,21.919999999999998,66.71,66.39,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
29,2/6/2017 0:29,67.99,55.04,22.009999999999998,66.71,66.22,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
30,2/6/2017 0:30,67.99,55.04,22.099999999999998,66.71,66.05,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
31,2/6/2017 0:31,67.99,55.04,22.189999999999998,66.71,65.89,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
32,2/6/2017 0:32,67.99,55.04,22.279999999999998,66.71,65.74,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
33,2/6/2017 0:33,67.99,55.04,22.37,66.71,65.59,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
34,2/6/2017 0:34,67.99,55.04,22.46,66.71,65.45,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
35,2/6/2017 0:35,67.99,55.04,22.55,66.71,65.31,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
36,2/6/2017 0:36,67.99,55.04,22.657999999999998,66.71,65.18,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
37,2/6/2017 0:37,67.99,55.04,22.747999999999998,66.71,65.06,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
38,2/6/2017 0:38,67.99,55.04,22.838,66.71,64.93,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
39,2/6/2017 0:39,67.99,55.04,22.928,66.71,64.82,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
40,2/6/2017 0:40,67.99,55.04,23.018,66.71,64.71,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
41,2/6/2017 0:41,67.99,55.04,23.108,66.71,64.6,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
42,2/6/2017 0:42,67.99,55.04,23.198,66.71,64.49,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
43,2/6/2017 0:43,67.99,55.04,23.288,66.71,64.39,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
44,2/6/2017 0:44,67.99,55.04,23.378,66.71,64.29,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
45,2/6/2017 0:45,67.99,55.04,23.468,66.71,64.2,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
46,2/6/2017 0:46,67.99,55.04,23.558,66.71,64.11,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
47,2/6/2017 0:47,67.99,55.04,23.666,66.71,64.02,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
48,2/6/2017 0:48,67.99,55.04,23.756,66.71,63.93,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
49,2/6/2017 0:49,67.99,55.04,23.846,66.71,63.85,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
50,2/6/2017 0:50,67.99,55.04,23.936,66.71,63.77,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
51,2/6/2017 0:51,67.99,55.04,24.026,66.71,63.69,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
52,2/6/2017 0:52,67.99,55.04,24.116,66.71,63.62,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
53,2/6/2017 0:53,67.99,55.04,24.206,66.71,63.55,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
54,2/6/2017 0:54,67.99,55.04,24.296,66.71,63.48,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
55,2/6/2017 0:55,67.99,55.04,24.386,66.71,63.41,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
56,2/6/2017 0:56,67.99,55.04,24.494,66.71,63.34,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
57,2/6/2017 0:57,67.99,55.04,24.584,66.71,63.28,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
58,2/6/2017 0:58,67.99,55.04,24.674,66.71,63.21,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
59,2/6/2017 0:59,67.99,55.04,24.764,66.71,63.15,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
60,2/6/2017 1:00,67.99,55.04,24.854,66.71,63.09,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
61,2/6/2017 1:01,67.99,55.04,24.944,66.71,63.03,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
62,2/6/2017 1:02,67.99,55.04,24.944,66.71,62.98,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
63,2/6/2017 1:03,67.99,55.04,24.944,66.71,62.92,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
64,2/6/2017 1:04,67.99,55.04,24.944,66.71,62.87,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
65,2/6/2017 1:05,67.99,55.04,24.944,66.71,62.81,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
66,2/6/2017 1:06,67.99,55.04,24.944,66.71,62.76,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
67,2/6/2017 1:07,68.39,55.04,24.944,69.39,69.44,1,1,1.0,1.0,0.0,0.0,0.09,0,0.04,0.02,0,1
68,2/6/2017 1:08,67.03,55.04,24.944,67.83,67.78,1,1,1.0,1.0,0.0,0.0,0.1,0,0.04,0.11,0,1
69,2/6/2017 1:09,66.52,55.04,24.944,68.53,68.46,1,1,1.0,1.0,0.0,0.0,0.11,0,0.04,0.12,0,1
70,2/6/2017 1:10,66.29,55.04,24.944,69.0,68.92,1,1,1.0,1.0,0.0,0.0,0.13,0,0.04,0.12,0,1
71,2/6/2017 1:11,66.05,55.04,24.944,69.31,69.22,1,1,1.0,1.0,0.0,0.0,0.14,0,0.04,0.12,0,1
72,2/6/2017 1:12,65.77,55.04,24.944,69.48,69.39,1,1,1.0,1.0,0.0,0.0,0.15,0,0.04,0.12,0,1
73,2/6/2017 1:13,65.46,55.04,24.944,69.55,69.46,1,1,1.0,1.0,0.0,0.0,0.17,0,0.04,0.12,0,1
74,2/6/2017 1:14,65.14,55.04,24.944,69.56,69.48,1,1,1.0,1.0,0.0,0.0,0.18,0,0.04,0.12,0,1
75,2/6/2017 1:15,64.82,55.04,24.944,69.55,69.46,1,1,1.0,1.0,0.0,0.0,0.19,0,0.04,0.12,0,1
76,2/6/2017 1:16,64.5,55.04,24.944,69.51,69.43,1,1,1.0,1.0,0.0,0.0,0.2,0,0.04,0.12,0,1
77,2/6/2017 1:17,64.19,55.04,24.944,69.45,69.37,1,1,1.0,1.0,0.0,0.0,0.21,0,0.04,0.12,0,1
78,2/6/2017 1:18,63.87,55.04,24.944,69.39,69.31,1,1,1.0,1.0,0.0,0.0,0.23,0,0.04,0.12,0,1
79,2/6/2017 1:19,63.56,55.04,24.944,69.33,69.25,1,1,1.0,1.0,0.0,0.0,0.24,0,0.04,0.12,0,1
80,2/6/2017 1:20,63.26,55.04,24.944,69.27,69.2,1,1,1.0,1.0,0.0,0.0,0.25,0,0.04,0.12,0,1
81,2/6/2017 1:21,62.96,55.04,24.944,69.22,69.16,1,1,1.0,1.0,0.0,0.0,0.25,0,0.04,0.12,0,1
82,2/6/2017 1:22,62.65,55.04,24.944,69.18,69.12,1,1,1.0,1.0,0.0,0.0,0.26,0,0.04,0.12,0,1
83,2/6/2017 1:23,62.36,55.04,24.944,69.14,69.08,1,1,1.0,1.0,0.0,0.0,0.27,0,0.04,0.12,0,1
84,2/6/2017 1:24,62.07,55.04,24.944,69.1,69.04,1,1,1.0,1.0,0.0,0.0,0.28,0,0.04,0.12,0,1
85,2/6/2017 1:25,61.78,55.04,24.944,69.05,69.0,1,1,1.0,1.0,0.0,0.0,0.29,0,0.04,0.12,0,1
86,2/6/2017 1:26,61.49,55.04,24.944,69.01,68.95,1,1,1.0,1.0,0.0,0.0,0.3,0,0.04,0.12,0,1
87,2/6/2017 1:27,61.2,55.04,24.944,68.96,68.9,1,1,1.0,1.0,0.0,0.0,0.3,0,0.04,0.12,0,1
88,2/6/2017 1:28,60.92,55.04,24.944,68.9,68.85,1,1,1.0,1.0,0.0,0.0,0.31,0,0.04,0.12,0,1
89,2/6/2017 1:29,60.63,55.04,24.944,68.85,68.8,1,1,1.0,1.0,0.0,0.0,0.32,0,0.04,0.12,0,1
90,2/6/2017 1:30,60.35,55.04,24.944,68.8,68.76,1,1,1.0,1.0,0.0,0.0,0.32,0,0.04,0.12,0,1
91,2/6/2017 1:31,60.08,55.04,24.944,68.76,68.72,1,1,1.0,1.0,0.0,0.0,0.33,0,0.04,0.12,0,1
92,2/6/2017 1:32,59.81,55.04,24.944,68.72,68.68,1,1,1.0,1.0,0.0,0.0,0.33,0,0.04,0.12,0,1
93,2/6/2017 1:33,59.62,55.04,24.944,68.68,68.64,1,1,1.0,1.0,0.0,0.0,0.34,0,0.04,0.12,0,1
94,2/6/2017 1:34,59.48,55.04,24.944,68.65,68.61,1,1,1.0,1.0,0.0,0.0,0.34,0,0.04,0.11,0,1
95,2/6/2017 1:35,59.34,55.04,24.944,68.61,68.57,1,1,1.0,1.0,0.0,0.0,0.35,0,0.04,0.11,0,1
96,2/6/2017 1:36,59.22,55.04,24.944,68.57,68.53,1,1,1.0,1.0,0.0,0.0,0.36,0,0.04,0.11,0,1
97,2/6/2017 1:37,59.11,55.04,24.944,68.53,68.5,1,1,1.0,1.0,0.0,0.0,0.36,0,0.04,0.11,0,1
98,2/6/2017 1:38,58.99,55.04,24.944,68.49,68.46,1,1,1.0,1.0,0.0,0.0,0.37,0,0.04,0.11,0,1
99,2/6/2017 1:39,58.87,55.04,24.944,68.45,68.41,1,1,1.0,1.0,0.0,0.0,0.37,0,0.04,0.11,0,1
100,2/6/2017 1:40,58.75,55.04,24.944,68.4,68.37,1,1,1.0,1.0,0.0,0.0,0.37,0,0.04,0.11,0,1
101,2/6/2017 1:41,58.63,55.04,24.944,68.36,68.33,1,1,1.0,1.0,0.0,0.0,0.38,0,0.04,0.11,0,1
102,2/6/2017 1:42,58.5,55.04,24.944,68.32,68.29,1,1,1.0,1.0,0.0,0.0,0.38,0,0.04,0.11,0,1
103,2/6/2017 1:43,58.38,55.04,24.944,68.28,68.25,1,1,1.0,1.0,0.0,0.0,0.39,0,0.04,0.11,0,1
104,2/6/2017 1:44,58.25,55.04,24.944,68.24,68.22,1,1,1.0,1.0,0.0,0.0,0.39,0,0.04,0.11,0,1
105,2/6/2017 1:45,58.12,55.04,24.944,68.2,68.18,1,1,1.0,1.0,0.0,0.0,0.39,0,0.04,0.11,0,1
106,2/6/2017 1:46,57.99,55.04,24.944,68.16,68.15,1,1,1.0,1.0,0.0,0.0,0.4,0,0.04,0.11,0,1
107,2/6/2017 1:47,57.86,55.04,24.944,68.13,68.11,1,1,1.0,1.0,0.0,0.0,0.4,0,0.04,0.11,0,1
108,2/6/2017 1:48,57.73,55.04,24.944,68.09,68.08,1,1,1.0,1.0,0.0,0.0,0.4,0,0.04,0.11,0,1
109,2/6/2017 1:49,57.59,55.04,24.944,68.06,68.05,1,1,1.0,1.0,0.0,0.0,0.41,0,0.04,0.11,0,1
110,2/6/2017 1:50,57.46,55.04,24.944,68.03,68.02,1,1,1.0,1.0,0.0,0.0,0.41,0,0.04,0.11,0,1
111,2/6/2017 1:51,57.32,55.04,24.944,67.99,67.99,1,1,1.0,1.0,0.0,0.0,0.41,0,0.04,0.11,0,1
112,2/6/2017 1:52,57.18,55.04,24.944,67.96,67.96,1,1,1.0,1.0,0.0,0.0,0.42,0,0.04,0.11,0,1
113,2/6/2017 1:53,57.04,55.04,24.944,67.93,67.93,1,1,1.0,1.0,0.0,0.0,0.42,0,0.04,0.11,0,1
114,2/6/2017 1:54,56.9,55.04,24.944,67.9,67.9,1,1,1.0,1.0,0.0,0.0,0.42,0,0.04,0.11,0,1
115,2/6/2017 1:55,56.76,55.04,24.944,67.87,67.87,1,1,1.0,1.0,0.0,0.0,0.42,0,0.04,0.11,0,1
116,2/6/2017 1:56,56.63,55.04,24.944,67.84,67.84,1,1,1.0,1.0,0.0,0.0,0.42,0,0.04,0.11,0,1
117,2/6/2017 1:57,56.49,55.04,24.944,67.81,67.82,1,1,1.0,1.0,0.0,0.0,0.42,0,0.04,0.11,0,1
118,2/6/2017 1:58,56.36,55.04,24.944,67.78,67.79,1,1,1.0,1.0,0.0,0.0,0.42,0,0.04,0.11,0,1
119,2/6/2017 1:59,56.23,55.04,24.944,67.75,67.76,1,1,1.0,1.0,0.0,0.0,0.43,0,0.04,0.11,0,1
120,2/6/2017 2:00,56.11,55.04,24.944,67.72,67.73,1,1,1.0,1.0,0.0,0.0,0.43,0,0.04,0.11,0,1
121,2/6/2017 2:01,55.98,55.04,24.944,67.69,67.7,1,1,1.0,1.0,0.0,0.0,0.43,0,0.04,0.11,0,1
122,2/6/2017 2:02,55.86,55.04,24.854,67.66,67.67,1,1,1.0,1.0,0.0,0.0,0.43,0,0.04,0.11,0,1
