,Time,SA T,SA T Set,OA T,MA T,RA T,SA Fan Stat,RA Fan Stat,SA Speed,RA Speed,OA Damper,RA Damper,Cooling valve,Heating valve,SA Pressure Set,SA Pressure,Occupancy,Fault
70560,5/2/2017 0:00,46.38,55.04,44.09,63.01,70.13,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,0
70561,5/2/2017 0:01,46.38,55.04,44.06,63.01,70.12,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,0
70562,5/2/2017 0:02,46.38,55.04,43.99,63.01,70.11,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,0
70563,5/2/2017 0:03,46.38,55.04,43.92,63.01,70.1,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,0
70564,5/2/2017 0:04,46.38,55.04,43.85,63.01,70.09,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,0
70565,5/2/2017 0:05,46.38,55.04,43.78,63.01,70.08,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,0
70566,5/2/2017 0:06,46.38,55.04,43.71,63.01,70.07,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,0
70567,5/2/2017 0:07,46.38,55.04,43.65,63.01,70.05,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,0
70568,5/2/2017 0:08,46.38,55.04,43.58,63.01,70.04,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,0
70569,5/2/2017 0:09,46.38,55.04,43.51,63.01,70.03,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,0
70570,5/2/2017 0:10,46.38,55.04,43.44,63.01,70.02,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,0
70571,5/2/2017 0:11,46.38,55.04,43.37,63.01,70.01,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,0
70572,5/2/2017 0:12,46.38,55.04,43.3,63.01,70.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,0
70573,5/2/2017 0:13,46.38,55.04,43.23,63.01,69.99,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,0
70574,5/2/2017 0:14,46.38,55.04,43.16,63.01,69.98,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,0
70575,5/2/2017 0:15,46.38,55.04,43.09,63.01,69.96,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,0
70576,5/2/2017 0:16,46.38,55.04,43.02,63.01,69.95,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,0
70577,5/2/2017 0:17,46.38,55.04,42.96,63.01,69.94,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,0
70578,5/2/2017 0:18,46.38,55.04,42.89,63.01,69.93,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,0
