,Time,SA T,SA T Set,OA T,MA T,RA T,SA Fan Stat,RA Fan Stat,SA Speed,RA Speed,OA Damper,RA Damper,Cooling valve,Heating valve,SA Pressure Set,SA Pressure,Occupancy,Fault
0,1/30/2017 0:00,68.0,55.04,32.0,68.0,75.2,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,0
1,1/30/2017 0:01,67.99,55.04,32.0,66.71,75.2,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,0
2,1/30/2017 0:02,67.99,55.04,-5.93,66.71,74.45,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,0
3,1/30/2017 0:03,67.99,55.04,-5.88,66.71,74.04,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,0
4,1/30/2017 0:04,67.99,55.04,-5.83,66.71,73.56,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,0
5,1/30/2017 0:05,67.99,55.04,-5.78,66.71,73.13,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,0
6,1/30/2017 0:06,67.99,55.04,-5.73,66.71,72.71,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,0
7,1/30/2017 0:07,67.99,55.04,-5.67,66.71,72.3,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,0
8,1/30/2017 0:08,67.99,55.04,-5.62,66.71,71.91,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,0
9,1/30/2017 0:09,67.99,55.04,-5.57,66.71,71.52,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,0
10,1/30/2017 0:10,67.99,55.04,-5.52,66.71,71.15,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,0
11,1/30/2017 0:11,67.99,55.04,-5.47,66.71,70.79,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,0
12,1/30/2017 0:12,67.99,55.04,-5.42,66.71,70.44,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,0
13,1/30/2017 0:13,67.99,55.04,-5.37,66.71,70.1,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,0
14,1/30/2017 0:14,67.99,55.04,-5.32,66.71,69.78,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,0
15,1/30/2017 0:15,67.99,55.04,-5.27,66.71,69.47,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,0
16,1/30/2017 0:16,67.99,55.04,-5.21,66.71,69.17,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,0
17,1/30/2017 0:17,67.99,55.04,-5.16,66.71,68.88,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,0
18,1/30/2017 0:18,67.99,55.04,-5.11,66.71,68.6,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,0
19,1/30/2017 0:19,67.99,55.04,-5.06,66.71,68.34,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,0
20,1/30/2017 0:20,67.99,55.04,-5.01,66.71,68.08,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,0
21,1/30/2017 0:21,67.99,55.04,-4.96,66.71,67.84,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,0
