,Time,SA T,SA T Set,OA T,MA T,RA T,SA Fan Stat,RA Fan Stat,SA Speed,RA Speed,OA Damper,RA Damper,Cooling valve,Heating valve,SA Pressure Set,SA Pressure,Occupancy,Fault
36000,2/24/2017 0:00,52.01,55.04,40.28,58.9,65.29,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
36001,2/24/2017 0:01,52.01,55.04,40.28,58.9,65.28,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
36002,2/24/2017 0:02,52.01,55.04,40.26,58.9,65.27,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
36003,2/24/2017 0:03,52.01,55.04,40.24,58.9,65.25,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
36004,2/24/2017 0:04,52.01,55.04,40.23,58.9,65.24,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
36005,2/24/2017 0:05,52.01,55.04,40.21,58.9,65.23,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
36006,2/24/2017 0:06,52.01,55.04,40.19,58.9,65.21,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
36007,2/24/2017 0:07,52.01,55.04,40.17,58.9,65.2,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
36008,2/24/2017 0:08,52.01,55.04,40.15,58.9,65.19,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
36009,2/24/2017 0:09,52.01,55.04,40.14,58.9,65.17,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
36010,2/24/2017 0:10,52.01,55.04,40.12,58.9,65.16,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
36011,2/24/2017 0:11,52.01,55.04,40.1,58.9,65.15,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
36012,2/24/2017 0:12,52.01,55.04,40.08,58.9,65.13,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
36013,2/24/2017 0:13,52.01,55.04,40.06,58.9,65.12,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
36014,2/24/2017 0:14,52.01,55.04,40.05,58.9,65.11,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
36015,2/24/2017 0:15,52.01,55.04,40.03,58.9,65.09,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
36016,2/24/2017 0:16,52.01,55.04,40.01,58.9,65.08,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
36017,2/24/2017 0:17,52.01,55.04,39.99,58.9,65.07,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
36018,2/24/2017 0:18,52.01,55.04,39.97,58.9,65.05,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
36019,2/24/2017 0:19,52.01,55.04,39.96,58.9,65.04,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
36020,2/24/2017 0:20,52.01,55.04,39.94,58.9,65.03,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
36021,2/24/2017 0:21,52.01,55.04,39.92,58.9,65.02,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
36022,2/24/2017 0:22,52.01,55.04,39.9,58.9,65.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
36023,2/24/2017 0:23,52.01,55.04,39.88,58.9,64.99,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
36024,2/24/2017 0:24,52.01,55.04,39.87,58.9,64.98,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
36025,2/24/2017 0:25,52.01,55.04,39.85,58.9,64.96,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
36026,2/24/2017 0:26,52.01,55.04,39.83,58.9,64.95,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
36027,2/24/2017 0:27,52.01,55.04,39.81,58.9,64.94,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
36028,2/24/2017 0:28,52.01,55.04,39.79,58.9,64.93,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
36029,2/24/2017 0:29,52.01,55.04,39.78,58.9,64.91,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
36030,2/24/2017 0:30,52.01,55.04,39.76,58.9,64.9,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
36031,2/24/2017 0:31,52.01,55.04,39.74,58.9,64.89,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
36032,2/24/2017 0:32,52.01,55.04,39.72,58.9,64.88,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
36033,2/24/2017 0:33,52.01,55.04,39.7,58.9,64.86,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
36034,2/24/2017 0:34,52.01,55.04,39.69,58.9,64.85,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
36035,2/24/2017 0:35,52.01,55.04,39.67,58.9,64.84,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
36036,2/24/2017 0:36,52.01,55.04,39.65,58.9,64.83,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
36037,2/24/2017 0:37,52.01,55.04,39.63,58.9,64.81,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
36038,2/24/2017 0:38,52.01,55.04,39.61,58.9,64.8,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
36039,2/24/2017 0:39,52.01,55.04,39.6,58.9,64.79,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
36040,2/24/2017 0:40,52.01,55.04,39.58,58.9,64.77,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
36041,2/24/2017 0:41,52.01,55.04,39.56,58.9,64.76,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
36042,2/24/2017 0:42,52.01,55.04,39.54,58.9,64.75,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
36043,2/24/2017 0:43,52.01,55.04,39.52,58.9,64.74,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
36044,2/24/2017 0:44,52.01,55.04,39.51,58.9,64.73,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
36045,2/24/2017 0:45,52.01,55.04,39.49,58.9,64.71,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
36046,2/24/2017 0:46,52.01,55.04,39.47,58.9,64.7,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
36047,2/24/2017 0:47,52.01,55.04,39.45,58.9,64.69,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
36048,2/24/2017 0:48,52.01,55.04,39.43,58.9,64.68,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
36049,2/24/2017 0:49,52.01,55.04,39.42,58.9,64.66,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
36050,2/24/2017 0:50,52.01,55.04,39.4,58.9,64.65,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
36051,2/24/2017 0:51,52.01,55.04,39.38,58.9,64.64,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
36052,2/24/2017 0:52,52.01,55.04,39.36,58.9,64.63,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
36053,2/24/2017 0:53,52.01,55.04,39.34,58.9,64.61,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
36054,2/24/2017 0:54,52.01,55.04,39.33,58.9,64.6,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
36055,2/24/2017 0:55,52.01,55.04,39.31,58.9,64.59,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
36056,2/24/2017 0:56,52.01,55.04,39.29,58.9,64.58,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
36057,2/24/2017 0:57,52.01,55.04,39.27,58.9,64.57,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
36058,2/24/2017 0:58,52.01,55.04,39.25,58.9,64.55,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
36059,2/24/2017 0:59,52.01,55.04,39.24,58.9,64.54,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
36060,2/24/2017 1:00,52.01,55.04,39.22,58.9,64.53,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
36061,2/24/2017 1:01,52.01,55.04,39.2,58.9,64.52,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
