,Time,SA T,SA T Set,OA T,MA T,RA T,SA Fan Stat,RA Fan Stat,SA Speed,RA Speed,OA Damper,RA Damper,Cooling valve,Heating valve,SA Pressure Set,SA Pressure,Occupancy,Fault
191520,9/11/2017 0:00,68.0,55.04,24.8,68.0,75.2,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
191521,9/11/2017 0:01,67.99,55.04,24.8,66.71,75.2,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
191522,9/11/2017 0:02,67.99,55.04,47.81,66.71,75.08,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
191523,9/11/2017 0:03,67.99,55.04,47.77,66.71,75.08,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
191524,9/11/2017 0:04,67.99,55.04,47.74,66.71,75.04,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
191525,9/11/2017 0:05,67.99,55.04,47.71,66.71,75.01,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
191526,9/11/2017 0:06,67.99,55.04,47.68,66.71,74.98,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
191527,9/11/2017 0:07,67.99,55.04,47.64,66.71,74.95,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
191528,9/11/2017 0:08,67.99,55.04,47.61,66.71,74.92,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
191529,9/11/2017 0:09,67.99,55.04,47.58,66.71,74.9,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
191530,9/11/2017 0:10,67.99,55.04,47.54,66.71,74.87,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
191531,9/11/2017 0:11,67.99,55.04,47.51,66.71,74.85,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
191532,9/11/2017 0:12,67.99,55.04,47.48,66.71,74.82,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
191533,9/11/2017 0:13,67.99,55.04,47.44,66.71,74.8,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
191534,9/11/2017 0:14,67.99,55.04,47.41,66.71,74.78,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
191535,9/11/2017 0:15,67.99,55.04,47.38,66.71,74.76,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
191536,9/11/2017 0:16,67.99,55.04,47.34,66.71,74.74,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
191537,9/11/2017 0:17,67.99,55.04,47.31,66.71,74.72,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
191538,9/11/2017 0:18,67.99,55.04,47.28,66.71,74.7,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
191539,9/11/2017 0:19,67.99,55.04,47.25,66.71,74.68,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
191540,9/11/2017 0:20,67.99,55.04,47.21,66.71,74.66,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
191541,9/11/2017 0:21,67.99,55.04,47.18,66.71,74.65,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
191542,9/11/2017 0:22,67.99,55.04,47.15,66.71,74.63,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
191543,9/11/2017 0:23,67.99,55.04,47.11,66.71,74.61,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
191544,9/11/2017 0:24,67.99,55.04,47.08,66.71,74.6,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
191545,9/11/2017 0:25,67.99,55.04,47.05,66.71,74.58,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
191546,9/11/2017 0:26,67.99,55.04,47.02,66.71,74.57,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
191547,9/11/2017 0:27,67.99,55.04,46.98,66.71,74.55,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
191548,9/11/2017 0:28,67.99,55.04,46.95,66.71,74.54,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
191549,9/11/2017 0:29,67.99,55.04,46.92,66.71,74.53,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
191550,9/11/2017 0:30,67.99,55.04,46.88,66.71,74.51,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
191551,9/11/2017 0:31,67.99,55.04,46.85,66.71,74.5,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
191552,9/11/2017 0:32,67.99,55.04,46.82,66.71,74.49,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
191553,9/11/2017 0:33,67.99,55.04,46.78,66.71,74.48,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
191554,9/11/2017 0:34,67.99,55.04,46.75,66.71,74.47,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
191555,9/11/2017 0:35,67.99,55.04,46.72,66.71,74.45,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
191556,9/11/2017 0:36,67.99,55.04,46.68,66.71,74.44,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
191557,9/11/2017 0:37,67.99,55.04,46.65,66.71,74.43,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
191558,9/11/2017 0:38,67.99,55.04,46.62,66.71,74.42,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
191559,9/11/2017 0:39,67.99,55.04,46.59,66.71,74.41,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
191560,9/11/2017 0:40,67.99,55.04,46.55,66.71,74.4,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
191561,9/11/2017 0:41,67.99,55.04,46.52,66.71,74.39,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
191562,9/11/2017 0:42,67.99,55.04,46.49,66.71,74.38,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
191563,9/11/2017 0:43,67.99,55.04,46.45,66.71,74.37,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
191564,9/11/2017 0:44,67.99,55.04,46.42,66.71,74.36,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
191565,9/11/2017 0:45,67.99,55.04,46.39,66.71,74.35,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
